Date,Close,Open,High,Low,Volume
06/08/2018," 12,722.50 "," 12,792.90 "," 12,792.90 "," 12,529.00 ", 12.72000 
06/09/2018," 13,602.40 "," 13,584.80 "," 13,795.90 "," 13,549.60 ", 12.28000 
06/11/2018," 13,936.70 "," 14,112.70 "," 14,130.30 "," 13,936.70 ", 4.65000 
06/12/2018," 12,177.00 "," 12,353.00 "," 12,458.60 "," 12,141.80 ", 12.68000 
06/13/2018," 15,274.10 "," 14,922.10 "," 15,344.50 "," 14,886.90 ", 10.04000 
06/14/2018," 14,992.50 "," 15,414.90 "," 15,643.60 "," 14,974.90 ", 18.00000 
06/15/2018," 15,133.30 "," 14,957.30 "," 15,133.30 "," 14,711.00 ", 13.20000 
06/18/2018," 14,147.90 "," 15,027.70 "," 15,027.70 "," 14,147.90 ", 20.23000 
06/19/2018," 13,496.80 "," 13,655.20 "," 13,901.50 "," 13,197.60 ", 36.04000 
06/20/2018," 14,077.50 "," 13,725.60 "," 14,077.50 "," 13,303.20 ", 15.79000 
06/21/2018," 13,813.50 "," 14,059.90 "," 14,059.90 "," 13,725.60 ", 10.62000 
06/22/2018," 14,411.80 "," 13,725.60 "," 14,411.80 "," 13,655.20 ", 19.65000 
06/25/2018," 14,605.40 "," 14,781.40 "," 14,834.20 "," 14,447.00 ", 9.48000 
06/26/2018," 14,464.60 "," 14,288.70 "," 14,482.20 "," 14,077.50 ", 7.32000 
06/27/2018," 13,901.50 "," 14,394.20 "," 14,482.20 "," 13,901.50 ", 9.24000 
06/28/2018," 13,672.80 "," 13,655.20 "," 14,007.10 "," 13,584.80 ", 11.66000 
06/29/2018," 13,514.40 "," 13,655.20 "," 13,795.90 "," 13,356.00 ", 14.16000 
07/05/2018," 14,077.50 "," 13,675.30 "," 14,077.50 "," 13,549.60 ", 14.46000 
07/06/2018," 15,560.70 "," 15,334.40 "," 15,686.40 "," 15,284.10 ", 20.88000 
07/08/2018," 12,722.50 "," 12,722.50 "," 12,722.50 "," 12,599.40 ", 13.32000 
07/09/2018," 13,971.90 "," 13,584.80 "," 14,007.10 "," 13,584.80 ", 14.80000 
07/11/2018," 13,778.30 "," 13,936.70 "," 14,007.10 "," 13,778.30 ", 7.70000 
07/12/2018," 12,194.60 "," 12,282.60 "," 12,317.80 "," 12,159.40 ", 9.21000 
07/13/2018," 12,529.00 "," 12,036.30 "," 12,546.60 "," 11,983.50 ", 12.95000 
07/16/2018," 12,493.80 "," 12,704.90 "," 12,757.70 "," 12,441.00 ", 9.11000 
07/17/2018," 12,704.90 "," 12,317.80 "," 12,722.50 "," 12,317.80 ", 9.25000 
07/18/2018," 13,092.10 "," 12,775.30 "," 13,144.90 "," 12,704.90 ", 17.33000 
07/19/2018," 13,092.10 "," 13,180.10 "," 13,285.60 "," 13,056.90 ", 9.62000 
07/20/2018," 12,916.10 "," 12,951.30 "," 13,021.70 "," 12,757.70 ", 13.62000 
07/23/2018," 13,004.10 "," 13,056.90 "," 13,232.80 "," 12,880.90 ", 15.32000 
07/24/2018," 12,458.60 "," 12,986.50 "," 13,004.10 "," 12,353.00 ", 33.53000 
07/25/2018," 12,493.80 "," 12,458.60 "," 12,599.40 "," 12,388.20 ", 15.67000 
07/26/2018," 12,845.70 "," 12,493.80 "," 12,845.70 "," 12,458.60 ", 22.50000 
07/27/2018," 13,127.30 "," 12,933.70 "," 13,144.90 "," 12,792.90 ", 13.17000 
07/30/2018," 13,039.30 "," 13,232.80 "," 13,303.20 "," 12,986.50 ", 16.54000 
07/31/2018," 13,144.90 "," 12,986.50 "," 13,250.40 "," 12,863.30 ", 15.80000 
08/05/2018," 14,328.90 "," 14,052.40 "," 14,555.10 "," 13,876.40 ", 17.97000 
08/06/2018," 15,409.80 "," 15,585.80 "," 15,585.80 "," 15,384.70 ", 13.80000 
08/08/2018," 12,916.10 "," 12,740.10 "," 12,968.90 "," 12,704.90 ", 9.40000 
08/10/2018," 14,499.80 "," 14,499.80 "," 14,587.80 "," 14,447.00 ", 10.24000 
08/11/2018," 13,690.40 "," 14,024.70 "," 14,024.70 "," 13,690.40 ", 7.67000 
08/13/2018," 13,479.20 "," 12,986.50 "," 13,496.80 "," 12,916.10 ", 31.21000 
08/14/2018," 13,549.60 "," 13,549.60 "," 13,690.40 "," 13,461.60 ", 14.55000 
08/15/2018," 13,197.60 "," 13,549.60 "," 13,637.60 "," 13,127.30 ", 12.83000 
08/16/2018," 13,197.60 "," 13,021.70 "," 13,268.00 "," 13,004.10 ", 19.15000 
08/17/2018," 13,268.00 "," 13,338.40 "," 13,444.00 "," 13,180.10 ", 10.25000 
08/20/2018," 13,109.70 "," 13,268.00 "," 13,268.00 "," 13,074.50 ", 9.70000 
08/21/2018," 13,197.60 "," 13,056.90 "," 13,197.60 "," 13,039.30 ", 9.37000 
08/22/2018," 13,373.60 "," 13,232.80 "," 13,514.40 "," 13,180.10 ", 16.58000 
08/23/2018," 13,408.80 "," 13,338.40 "," 13,496.80 "," 13,338.40 ", 10.54000 
08/24/2018," 13,496.80 "," 13,373.60 "," 13,514.40 "," 13,303.20 ", 15.54000 
08/27/2018," 13,708.00 "," 13,584.80 "," 13,831.10 "," 13,549.60 ", 14.97000 
08/28/2018," 14,042.30 "," 13,725.60 "," 14,147.90 "," 13,725.60 ", 30.15000 
08/29/2018," 13,936.70 "," 14,077.50 "," 14,306.30 "," 13,936.70 ", 18.83000 
08/30/2018," 13,954.30 "," 13,936.70 "," 14,007.10 "," 13,778.30 ", 17.65000 
08/31/2018," 14,059.90 "," 14,007.10 "," 14,200.70 "," 13,936.70 ", 16.79000 
09/04/2018," 15,284.10 "," 15,233.90 "," 15,384.70 "," 15,083.00 ", 17.17000 
09/05/2018," 14,328.90 "," 14,278.60 "," 14,454.60 "," 14,102.60 ", 7.73000 
09/07/2018," 12,564.20 "," 13,197.60 "," 13,197.60 "," 12,458.60 ", 10.53000 
09/08/2018," 12,863.30 "," 12,986.50 "," 13,092.10 "," 12,845.70 ", 12.56000 
09/10/2018," 14,429.40 "," 14,605.40 "," 14,605.40 "," 14,429.40 ", 10.15000 
09/11/2018," 13,232.80 "," 13,584.80 "," 13,672.80 "," 13,232.80 ", 15.63000 
09/13/2018," 13,989.50 "," 13,971.90 "," 14,165.50 "," 13,901.50 ", 13.01000 
09/14/2018," 13,901.50 "," 14,007.10 "," 14,095.10 "," 13,901.50 ", 12.74000 
09/17/2018," 13,883.90 "," 13,831.10 "," 13,954.30 "," 13,778.30 ", 6.50000 
09/18/2018," 13,883.90 "," 13,795.90 "," 13,883.90 "," 13,655.20 ", 19.94000 
09/19/2018," 13,954.30 "," 14,007.10 "," 14,042.30 "," 13,936.70 ", 12.29000 
09/20/2018," 14,394.20 "," 14,042.30 "," 14,394.20 "," 13,971.90 ", 27.31000 
09/21/2018," 14,535.00 "," 14,429.40 "," 14,570.20 "," 14,306.30 ", 39.08000 
09/24/2018," 14,535.00 "," 14,675.80 "," 14,675.80 "," 14,464.60 ", 12.13000 
09/25/2018," 14,517.40 "," 14,429.40 "," 14,570.20 "," 14,376.60 ", 12.25000 
09/26/2018," 14,429.40 "," 14,517.40 "," 14,587.80 "," 14,429.40 ", 13.73000 
09/27/2018," 14,623.00 "," 14,499.80 "," 14,640.60 "," 14,464.60 ", 15.31000 
09/28/2018," 14,886.90 "," 14,640.60 "," 14,904.50 "," 14,605.40 ", 26.33000 
10/04/2018," 15,284.10 "," 15,284.10 "," 15,359.60 "," 15,108.20 ", 17.83000 
10/05/2018," 13,876.40 "," 14,253.50 "," 14,303.70 "," 13,826.10 ", 10.07000 
10/07/2018," 12,493.80 "," 12,493.80 "," 12,704.90 "," 12,493.80 ", 8.28000 
10/08/2018," 13,021.70 "," 12,828.10 "," 13,056.90 "," 12,828.10 ", 11.52000 
10/09/2018," 13,795.90 "," 13,954.30 "," 14,007.10 "," 13,795.90 ", 7.05000 
10/10/2018," 14,570.20 "," 14,464.60 "," 14,693.40 "," 14,411.80 ", 18.46000 
10/12/2018," 11,877.90 "," 12,141.80 "," 12,177.00 "," 11,842.70 ", 14.78000 
10/15/2018," 14,200.70 "," 14,323.80 "," 14,323.80 "," 14,147.90 ", 11.55000 
10/16/2018," 14,341.40 "," 14,200.70 "," 14,341.40 "," 14,200.70 ", 7.96000 
10/17/2018," 14,429.40 "," 14,499.80 "," 14,517.40 "," 14,376.60 ", 14.03000 
10/18/2018," 14,429.40 "," 14,429.40 "," 14,482.20 "," 14,323.80 ", 11.18000 
10/19/2018," 14,341.40 "," 14,323.80 "," 14,447.00 "," 14,218.30 ", 13.67000 
10/22/2018," 14,112.70 "," 14,359.00 "," 14,411.80 "," 14,112.70 ", 7.02000 
10/23/2018," 13,901.50 "," 14,059.90 "," 14,059.90 "," 13,690.40 ", 27.41000 
10/24/2018," 13,795.90 "," 13,795.90 "," 14,042.30 "," 13,795.90 ", 14.27000 
10/25/2018," 13,725.60 "," 13,373.60 "," 13,778.30 "," 13,320.80 ", 19.83000 
10/26/2018," 13,690.40 "," 13,831.10 "," 13,936.70 "," 13,690.40 ", 14.09000 
10/29/2018," 13,672.80 "," 13,602.40 "," 13,690.40 "," 13,584.80 ", 12.21000 
10/30/2018," 13,620.00 "," 13,584.80 "," 13,848.70 "," 13,584.80 ", 7.35000 
10/31/2018," 14,165.50 "," 13,760.70 "," 14,165.50 "," 13,743.20 ", 11.61000 
11/04/2018," 15,208.70 "," 15,334.40 "," 15,585.80 "," 15,183.60 ", 27.56000 
11/05/2018," 14,002.10 "," 13,725.60 "," 14,027.20 "," 13,700.40 ", 10.46000 
11/06/2018," 15,233.90 "," 15,334.40 "," 15,510.40 "," 15,208.70 ", 30.82000 
11/07/2018," 12,106.60 "," 12,282.60 "," 12,458.60 "," 11,895.50 ", 19.24000 
11/09/2018," 14,077.50 "," 13,743.20 "," 14,147.90 "," 13,743.20 ", 18.94000 
11/10/2018," 14,042.30 "," 14,112.70 "," 14,288.70 "," 13,831.10 ", 43.78000 
11/12/2018," 11,772.30 "," 11,825.10 "," 11,948.30 "," 11,543.50 ", 19.11000 
11/13/2018," 12,986.50 "," 13,021.70 "," 13,127.30 "," 12,951.30 ", 14.79000 
11/14/2018," 12,599.40 "," 12,968.90 "," 12,968.90 "," 12,405.80 ", 22.65000 
11/15/2018," 12,317.80 "," 12,493.80 "," 12,652.10 "," 12,229.80 ", 18.70000 
11/16/2018," 12,388.20 "," 12,493.80 "," 12,564.20 "," 12,335.40 ", 6.36000 
11/19/2018," 12,476.20 "," 12,493.80 "," 12,599.40 "," 12,370.60 ", 4.56000 
11/20/2018," 12,845.70 "," 12,529.00 "," 12,898.50 "," 12,458.60 ", 15.63000 
11/21/2018," 12,845.70 "," 12,687.30 "," 12,951.30 "," 12,669.70 ", 10.42000 
11/22/2018," 12,599.40 "," 12,880.90 "," 12,933.70 "," 12,599.40 ", 7.51000 
11/23/2018," 12,511.40 "," 12,599.40 "," 12,669.70 "," 12,493.80 ", 5.63000 
11/26/2018," 12,529.00 "," 12,529.00 "," 12,740.10 "," 12,511.40 ", 6.78000 
11/27/2018," 12,529.00 "," 12,599.40 "," 12,740.10 "," 12,529.00 ", 5.19000 
11/28/2018," 12,388.20 "," 12,564.20 "," 12,617.00 "," 12,300.20 ", 11.20000 
11/29/2018," 12,036.30 "," 12,458.60 "," 12,546.60 "," 12,036.30 ", 11.11000 
11/30/2018," 11,684.30 "," 11,965.90 "," 11,965.90 "," 11,684.30 ", 20.45000 
12/04/2018," 15,510.40 "," 15,133.30 "," 15,560.70 "," 15,057.90 ", 17.30000 
12/06/2018," 14,957.30 "," 15,590.80 "," 15,590.80 "," 14,675.80 ", 29.00000 
12/07/2018," 11,877.90 "," 11,719.50 "," 12,018.70 "," 11,684.30 ", 9.11000 
12/09/2018," 13,901.50 "," 14,112.70 "," 14,165.50 "," 13,901.50 ", 15.35000 
12/10/2018," 14,359.00 "," 13,866.30 "," 14,359.00 "," 13,866.30 ", 18.06000 
12/11/2018," 13,215.20 "," 13,232.80 "," 13,285.60 "," 13,074.50 ", 7.68000 
12/12/2018," 11,825.10 "," 11,789.90 "," 11,877.90 "," 11,613.90 ", 9.81000 
12/13/2018," 11,965.90 "," 11,913.10 "," 12,001.10 "," 11,860.30 ", 15.00000 
12/14/2018," 11,789.90 "," 11,948.30 "," 11,948.30 "," 11,754.70 ", 10.58000 
12/17/2018," 11,402.80 "," 11,789.90 "," 11,789.90 "," 11,402.80 ", 12.27000 
12/18/2018," 10,945.30 "," 11,156.40 "," 11,279.60 "," 10,786.90 ", 22.34000 
12/19/2018," 10,452.50 "," 10,945.30 "," 11,050.80 "," 10,206.20 ", 30.03000 
12/20/2018," 10,540.50 "," 10,417.30 "," 10,610.90 "," 10,311.80 ", 16.70000 
12/21/2018," 10,540.50 "," 10,311.80 "," 10,558.10 "," 10,311.80 ", 12.21000 
12/24/2018," 10,734.10 "," 10,540.50 "," 10,734.10 "," 10,540.50 ", 8.93000 
12/25/2018," 10,698.90 "," 10,434.90 "," 10,698.90 "," 10,188.60 ", 13.14000 
12/26/2018," 10,663.70 "," 10,698.90 "," 10,698.90 "," 10,470.10 ", 10.48000 
12/27/2018," 10,892.50 "," 10,857.30 "," 10,945.30 "," 10,663.70 ", 13.34000 
12/28/2018," 10,892.50 "," 10,839.70 "," 10,892.50 "," 10,734.10 ", 20.46000 
01/02/2019," 9,607.90 "," 9,801.50 "," 9,924.60 "," 9,502.30 ", 19.44000 
01/03/2019," 12,053.90 "," 11,825.10 "," 12,053.90 "," 11,825.10 ", 12.62000 
01/04/2019," 11,244.40 "," 11,279.60 "," 11,332.40 "," 11,226.80 ", 10.05000 
01/07/2019," 10,522.90 "," 10,614.40 "," 10,660.20 "," 10,431.40 ", 8.08000 
01/08/2019," 10,339.90 "," 10,294.20 "," 10,408.50 "," 10,179.80 ", 12.53000 
01/10/2019," 10,019.70 "," 10,042.50 "," 10,156.90 "," 9,996.80 ", 8.56000 
01/11/2019," 10,019.70 "," 10,019.70 "," 10,111.20 "," 9,973.90 ", 8.55000 
01/14/2019," 10,311.80 "," 10,347.00 "," 10,364.60 "," 10,153.40 ", 8.83000 
01/15/2019," 10,311.80 "," 10,311.80 "," 10,417.30 "," 10,259.00 ", 7.23000 
01/16/2019," 10,364.60 "," 10,347.00 "," 10,434.90 "," 10,259.00 ", 8.16000 
01/17/2019," 10,171.00 "," 10,364.60 "," 10,364.60 "," 10,171.00 ", 5.36000 
01/18/2019," 10,276.60 "," 10,311.80 "," 10,364.60 "," 10,259.00 ", 5.81000 
01/21/2019," 10,399.70 "," 10,311.80 "," 10,470.10 "," 10,276.60 ", 5.25000 
01/22/2019," 10,382.20 "," 10,452.50 "," 10,505.30 "," 10,364.60 ", 4.56000 
01/23/2019," 10,575.70 "," 10,347.00 "," 10,698.90 "," 10,329.40 ", 10.37000 
01/24/2019," 10,505.30 "," 10,593.30 "," 10,698.90 "," 10,505.30 ", 6.54000 
01/25/2019," 10,452.50 "," 10,558.10 "," 10,593.30 "," 10,399.70 ", 4.41000 
01/28/2019," 10,470.10 "," 10,487.70 "," 10,487.70 "," 10,417.30 ", 4.69000 
01/29/2019," 10,452.50 "," 10,505.30 "," 10,505.30 "," 10,382.20 ", 4.97000 
01/30/2019," 10,206.20 "," 10,417.30 "," 10,417.30 "," 10,153.40 ", 18.52000 
